text,year,location
Harbour Lights CHEER Senior Center $ 175,776

Indian River Senior Center $ 137,072

Laurel Senior Center $ 211,123

Lewes Senior Citizens Center $ 83,827

Long Neck Pelican Cove CHEER $ 119,565

Nanticoke Senior Center $ 190,730

Roxana CHEER Senior Center $ 95,700

Slaughter Neck CHEER Center $ 92,478

  Totals $1,672,243

   

CITY OF WILMINGTON

  Clarence Fraim Senior Center $ 171,170

  Claymore Senior Center $ 203,795

  Jimmy Jenkins Senior Center $ 87,083

El Centro Los Abuelos Senior Center $ 52,985

Peoples Settlement Senior Citizens Program $ 78,292

  Saint Anthony's Senior Center $ 135,980

  Saint Patrick's Senior Center $ 142,022

  Salvation Army Senior Center $ 80,510

  South Wilmington Senior Adult Center $ 45,032

  West Center City Adult Center $ 92,496

  Wilmington Senior Center $ 166,674

  Totals $1,256,039

   

  STATE TOTAL $6,595,964

   

(45-01-01) Department of Safety and Homeland Security - Office of Secretary

Local Police Coordination $ 66,400

Aid to Local Law Enforcement $ 300,000

Emergency Illegal Drug Enforcement (EIDE) $ 200,000

Total - Department of Safety and Homeland Security $ 566,400

TOTAL - Section 1 $20,250,879

Category/Description

One-Time Items:

Section Funds are hereby appropriated to the following grants-in-aid in the amounts listed: Amount

Frederica Fire Company – aerial truck in service 8/1/08 $ 4,983

Total - One-Time Items $ 4,983

Aging - Other

Boys and Girls Club - Elder Swim $69,400

Bridgeville Cheer $3,400

Bridgeville Senior Citizens Center- Homebound $4,300

Catholic Charities - Support Services for Seniors $39,600

Coastal Leisure Cheer Homebound $3,200

Connecting Generations - Seasons of Respect $87,400

Connecting Generations $27,800

Delaware Senior Olympics $29,500

Generations Home Care- Medical Transportation $18,200

Generations Home Care-Geriatrics $135,600

Georgetown Cheer Senior Services-Homebound $6,600

Greenwood Cheer Senior Services - Homebound $6,600

Harvest Years Senior Center Shopping Program $10,400

Laurel Cheer - Homebound $3,400

Long Neck Cheer Sr Services-Homebound $11,500

Meals on Wheels Delaware $8,100

Meals on Wheels of Lewes and Rehoboth $52,900

Ministry Of Caring-Frances Norton Community Center $45,000

Modern Maturity Center - Wellness $5,800

Modern Maturity Center, Inc. Meals on Wheels $31,400

Nanticoke Senior Center-Homebound Meals $6,600

Nanticoke Senior Center-Physical Fitness $4,400

Newark Senior Center - Homebound $11,500

Roxana Cheer Senior Services-Homebound $11,500

SCSS Cheer Mobile Mini Market $11,400

SCSS Cheer - Community Center $59,600

SCSS Cheer - Fitness Program $12,100

SCSS Cheer - Home Services $47,700

Slaughter Neck Cheer Senior Services-Homebound $11,500

St. Anthony's Community Center, Inc. - City Fare $45,000

St. Patrick's Center--Grocery Distribution $ 8,500   

Total For Aging $829,900

Arts/Historical/Cultural/Tourism

Associated Community Talents $16,800

August Quarterly Festival $9,700

Challenge Program $19,900

Chinese American Community Center $2,000

Christina Cultural Arts Center $21,200

Cityfest, Inc. $3,600

Claymont Historical Society, Inc $7,100

Darley Society $3,900

Delaware Academy of Science--Iron Hill $29,000

Delaware Afro-American Sports Hall of Fame $6,400

Delaware Agricultural Museum $33,800

Delaware Center for Horticulture $25,900

Delaware Children's Museum $12,900

Delaware City Day Committee $30,200

Delaware College of Art and Design $10,000

Delaware Greenways, Inc. $25,300

Delaware Humanities Forum $36,700

Delaware Museum of Natural History $11,300

Delaware Military Heritage and Education Foundation $16,700

Delaware Nature Society, Inc. $30,500

Delaware Preservation Fund $10,600

Delaware River and Bay Lighthouse Foundation $2,200

Delaware Sports Museum and Hall of Fame, Inc $12,300

Delaware State Fair $112,700

Delaware State Police Museum, Inc. $20,000

Duck Creek Historical Society $8,800

First Night Dover, Inc. $7,000

First Night Wilmington, Inc. $7,000

Fort Delaware Society $12,000

Friends of the Claymont Stone School $14,100

Friends of the Milford Museum $2,800

Friends Society of Wilmington Parks- Brandywine Park $18,100

Georgetown Historical Society $13,100

Greater Brandywine Village Revitalization $15,500

Greater Harrington Historical Society $14,700

Harrington Parks & Recreation Comm. $9,000

Historic Red Clay Valley, Inc. $16,100

Historical Society of Delaware $61,200

Inner City Cultural League - Dover and Seaford Festivals $3,400

Kalmar Nyckel Foundation $7,800

Milford Historical Society $3,800

Milton Historical Society $1,000

Miss Delaware Scholarship Pageant $4,750

Nanticoke Indians Association $12,500

New Castle Historical Society $5,900

New Castle Separation Day $30,200

New Sweden Center--Kalmar Nyckel $8,100

Old Brandywine Village $15,500

Overfalls Maritime Museum $2,000

Preservation Delaware $10,900

Quaker Hill Historic Preservation Foundation $5,800

Rehoboth Beach Main Street $10,900

Seaford Historical Society, Inc./Seaford Museum $6,400

Sister Cities of Wilmington $6,400

Smyrna-Clayton Heritage Association $5,000

Sussex County Return Day, Inc. $8,000

WHYY $100,000

WSCL FM - Salisbury St. University $4,960

Total - Arts/Historical/Cultural/Tourism $ 963,410

Handicapped/Health/Labor

Adult Special Education Program. Inc. $50,600

AHEDD, Inc.--Dover/Wilmington $48,300

AIDS Delaware $14,500

Alzheimer's Association - DE Chapter $14,700

American Cancer Society $34,500

American Diabetes Assoc. $15,500

American Lung Assoc. $7,700

Arthritis Foundation - Includes Senior Swim $25,400

ARC of Delaware $11,600

Brain Injury Association of Delaware, Inc. $10,900

Cancer Care Connection $4,000

Center for Community Education $6,900

Center for Therapeutic and Educational Riding $14,500

Children & Families First - Resource Mothers $38,300

Colonial Chapter Paralyzed Veterans, Inc. $37,200

Community Outreach and Prevention Education $4,300

Connections CSP, Inc $4,600

Delaware Association for Blind Athletes $6,800

Delaware Association for the Blind $52,000

Delaware Association of Rehabilitation Facilities (DELARF) $7,300

Delaware Breast Cancer Coalition $18,200

Delaware Breast Cancer Coalition - Dover Center $6,200

Delaware Care Plan $5,100

Delaware Elwyn Inc $38,700

DFRC, Inc $11,900

Delaware HIV Consortium $5,100

Delaware Hospice, Inc. $161,000

Delaware Pain Initiative $7,300

Delaware Special Olympics $25,900

Delmarva Rural Ministries, Inc - Kent County Health Center $32,100

Delmarva Rural Ministries, Inc. - Mobile Access $14,300

Easter Seals -- De & Md Eastern Shore $104,300

Epilepsy Foundation of Delaware $32,000

Independent Resources $3,400

Jobs for Delaware Graduates $206,600

Kent-Sussex Industries $72,700

Kinfolk Limited $4,000

Krysti Bingham Cerebral Palsy Foundation $1,600

La Red $1,400

Leukemia & Lymphoma Soc. - Patient Financial Aid $4,000

Lower Delaware Autism Foundation $3,200

Mancus Foundation $39,700

Mary Campbell Center $112,000

Mental Health Association in Delaware $22,500

Ministry of Caring - Dental Office $7,300

National Alliance for the Mentally Ill NAMI-DE $61,700

National Multiple Sclerosis Society of Delaware $15,500

Opportunity Center, Inc. - Employment/Vocational Training $13,900

Parent Information Center of Delaware $7,400

Peachtree Acres Assisted Living $29,900

Planned Parenthood of De $27,700

Ronald McDonald House of Delaware $30,900

Southbridge Med. Adv. Council (HJCC) $101,800

St. Francis Foundation - St. Claire Van $5,600

VSA Arts of De $800

Wellness Community--Delaware $11,000

Westside Health, Inc.-- Family Medical $31,400

Westside Health, Inc. -- Dental Health $7,500

W.E. Tobin Foundation for the Visually Impaired, Inc. $11,900

Total - Handicapped/Health/Labor $1,707,100

 

Family and Youth Services

Residential Treatment

Aid in Dover, Inc. $68,300

Diamond State -- Camelot $105,900

Gilpin Hall - Home for Aged Women $21,800

Shepherd Place $37,800

Other

American Mothers of DE $3,200

Bear -Glasgow YMCA $6,000

Because We Care $61,800

Big Brothers/Big Sisters of Delaware $54,500

Boy Scouts of America, Delmarva Council - Youth at Risk $5,500

Boys & Girls Clubs - Bldg Safer Communities I $236,600

Boys & Girls Clubs - Bldg Safer Communities II $10,400

Boys & Girls Clubs $100,300

Boys & Girls Clubs - Expanded Statewide Teen Program $7,300

Camp Barnes, Inc $31,100

Catholic Charities - Casa San Francisco $61,400

Catholic Charities - Home of Divine Province - Bayard House $47,500

Catholic Youth Organization $18,200

Central Delaware YMCA - NYPUM $28,700

Central Delaware YMCA - Youth Program $2,200

Children & Families First $441,700

Children and Families First - Family & Workplace Connection $143,000

Child, Inc. $106,900

Christina Educational Enrichment Foundation $4,200

Delaware Law Related Education Center $14,900

Delaware City Youth Center $27,000

Delaware Ecumenical Council on Children & Families $7,700

Delaware Financial Literacy Institute $18,200

Delaware Futures, Inc. $2,400

Delaware Guidance Services for Children & Youth $185,300

Delaware National Guard Youth Camp $10,900

Delaware Parents Association $18,200

Delaware Safe Kids, Inc. $8,000

Delaware Volunteer Legal Services $38,000

Delaware Wrestling Alliance, Inc. $26,200

Diamond State Classic - IAABO $17,400

Elizabeth W. Murphy School, Inc. $14,100

Girl Scouts of the Chesapeake Bay Inc. $40,100

Girls, Inc - Project Pride $43,100

Girls, Inc. - Jump Start $34,500

Girls, Inc. Youth Development Center $127,900

Interfaith Community Housing Delaware, Inc. $17,100

Jewish Family Service of Delaware $45,400

Lenape Indian Tribe of Delaware $9,600

First Tee of Delaware $54,000

Lutheran Community Services, Inc.--Life Food Pantries $4,100

Lutheran Community Services, Inc.-- Emergency Assistance $11,800

NCALL Research, Inc $39,400

New Hope Recreation and Development Center $11,500

Newark Children's Center - -Community Outreach Programs $2,200

Northern Delaware Youth for Christ $11,400

Police Athletic League of Delaware $66,200

Police Athletic League of Wilmington $19,300

Parents Anonymous of Delaware $3,800

Peoples Place II $110,100

Prevent Child Abuse Delaware $41,200

SOAR $16,600

St. Michael's School - Primary School Program $700

Supporting KIDDS $15,700

Sussex Family YMCA $24,900

Delaware Teen Court $7,500

United Cerebral Palsy of Delaware, Inc. $75,300

Young Life Campaign $2,500

Total - Family and Youth Services $2,828,500

Alcohol/Drug Abuse

1212 Program $35,400

Addictions Coalition of Delaware, Inc. $50,900

Brandywine Counseling, Inc. $19,100

Catholic Charities - Substance Abuse & Outpatient Services $40,500

City of Dover Police Dept--Substance Abuse $25,400

Delaware Assoc. for Children of Alcoholics $41,300

Hogar Crea International $9,600

House of Pride $23,900

Kent/Sussex County Counseling Services $11,100

Limen House $47,700

Martin Luther King Center $21,800

Open Door, Inc $142,000

People's Settlement Assoc. $31,800

SODAT $33,400

Sojourners' Place, Inc. $40,000

YMCA Resource Center, Inc. $57,300

Total- Alcohol/Drug Abuse 631,200

Neighborhood/Community Services

American Red Cross--Emergency Response and Readiness $89,500

Better Homes of Seaford, Inc $21,600

Brandywine Community Resource Council $269,800

Cab Calloway Foundation $14,400

Civil Air Patrol--Cadet Program $19,600

Community Design Center $18,900

Community Legal Aid Society $112,800

ContactLifeline $80,300

ContactLifeline - SSAAV $8,800

Cornerstone West Community Development Corporation $4,000

Delaware Aerospace Education Foundation $18,700

Delaware Center for Justice $12,700

Delaware Coalition for Literacy $5,900

Delaware Crime Stoppers $17,300

Delaware Helpline $8,300

Delaware Housing Coalition $30,000

Neighborhood/Community Services - continued

Delaware Manufactured Homeowners Association $1,400

Delaware Mentor Program $17,500

Delaware Rural Water Association - Transient Water $11,900

Delaware Rural Water Assoc. - Non-Transient Water $2,400

Delaware Safety Council, Inc. $40,900

Delmarva Clergy in Action $6,600

Delmarva Safety Association $1,400

Eastlawn Area Human Center, Inc. $69,000

Edgemoor Community Center, Inc. $211,300

Elsmere Recreation Inc $162,400

Faithful Friends $9,300

First State Community Action $49,300

First State Community Loan Fund $8,000

First State Res. Cons. & Dev. Council $31,000

Food Bank of Delaware $161,300

Food Bank of Delaware--Kent/Sussex Counties $25,400

F.A.I.T.H. Center $1,700

Gumboro Community Center $13,900

Hilltop Lutheran Neighborhood Center $109,000

Hockessin Community Center $90,100

Home of the Brave Foundation $8,700

Homeward Bound, Inc. $61,800

Hope Dining Room $1,400

Housing Opportunity of Northern DE. Inc $8,000

Ingleside Homes, Inc. Senior Services $46,400

Inter-Neighborhood Foundation $8,400

Jewish Community Center $14,300

Junior Achievement of Delaware $38,200

Junior League $1,500

Kent County SPCA $3,600

Kingswood Community Center $12,300

Latin American Community Center $53,700

Literacy Volunteers of American – Northern Delaware $5,800

Methodist Action Program $42,600

Milford Housing Development Corporation $37,200

Ministry of Caring – Emmanuel Dining Room $70,300

Ministry of Caring – House of Joseph I $43,100

Ministry of Caring – House of Joseph II $33,200

Ministry of Caring – Job Placement $27,200

Ministry of Caring – Mary Mother of Hope House I $72,200

Ministry of Caring – Mary Mother of Hope House II & III $71,100

Nature Conservancy $8,100

Nehemiah Gateway Community Development Corp $4,800

Neighborhood House $74,700

Neighborhood House/Southern New Castle County $74,900

New Knollwood Civic Association $27,300

Newark Area Welfare Committee $5,100

O.A.Herring Community Services $81,400

Pencader Hundred Community Center, Inc. $3,600

People to People International $4,800

Project Reach Out $6,600

Reading Assist Institute $19,700

Richardson Park Community Action $27,800

River’s Edge Association $98,900

Rosehill Community Center $210,800

Salvation Army- Statewide Crisis Alleviation $150,900

Seamen's Center, Inc. Of Wilmington $7,600

Service Corps of Retired Executives - Score $7,300

Neighborhood/Community Services - continued

Slaughter Neck Community Action Committee $41,400

Southern Delaware Horse Retirement $1,800

STEHM, Inc. $17,400

Sussex Community Crisis Housing Services $29,100

Tri-State Bird Rescue & Research $34,900

USO Delaware Inc. $8,500

Way Home $3,600

West End Neighborhood House $50,900

Whatcoat Social Service Agency $71,300

Wilmington Enterprise Comm. $4,000

Women's Club of Odessa $1,500

YWCA of Delaware $249,500

 

Total - Neighborhood/Community Services 3,745,600

TOTAL - Section 2 $10,707,293

Section (a) There is appropriated to the listed fire companies the following sums to be used for the prevention and extinguishment of fires throughout the State and for the maintenance of apparatus and equipment:

New Castle County

Aetna Hose, Hook and Ladder Co. Newark $ 21,260

Belvedere Volunteer Fire Company Belvedere 21,260

Brandywine Hundred Fire Co. No. 1 Bellefonte 21,260

Christiana Fire Co. Christiana 21,260

Claymont Fire Co. Claymont 21,260

Cranston Heights Fire Co. Cranston Heights 21,260

Delaware City Fire Co. Delaware City 21,260

Elsmere Fire Co. Elsmere 21,260

Five Points Fire Co. No. 1 Richardson Park 21,260

Goodwill Fire Co. No. 1 New Castle 21,260

Hockessin Fire Co. Hockessin 21,260

Holloway Terrace Fire Co. Holloway Terrace 21,260

Mill Creek Fire Co. Marshallton 21,260

Minquadale Fire Co. Minquadale 21,260

Minquas Fire Co. No. 1 Newport 21,260

Odessa Fire Co., Inc. Odessa 21,260

Port Penn Volunteer Fire Co., Inc. Port Penn 21,260

Talleyville Fire Co., Inc. Talleyville 21,260

Townsend Fire Co., Inc. Townsend 21,260

Volunteer Hose Co., Inc. Middletown 21,260

Wilmington Manor Volunteer Fire Co., Inc. Wilmington Manor 21,260

Kent County

Bowers Volunteer Fire Co., Inc. Bowers $ 21,260

Camden-Wyoming Fire Co. Camden 21,260

Carlisle Fire Co. Milford 21,260

Cheswold Volunteer Fire Co. Cheswold 21,260

Citizens' Hose Co. No. 1, Inc. Smyrna 21,260

Clayton Fire Co. Clayton 21,260

Farmington Volunteer Fire Co. Farmington 21,260

Felton Community Fire Co. Felton 21,260

Frederica Volunteer Fire Co. Frederica 21,260

Harrington Fire Co. Harrington 21,260

Hartly Volunteer Fire Co. Hartly 21,260

Houston Volunteer Fire Co. Houston 21,260

Leipsic Volunteer Fire Co. Leipsic 21,260

Little Creek Volunteer Fire Co. Little Creek 21,260

Magnolia Volunteer Fire Co. Magnolia 21,260

Marydel Volunteer Fire Co., Inc. Marydel 21,260

Robbins Hose Co. Dover 21,260

South Bowers Fire Co. South Bowers 21,260

Sussex County

Bethany Beach Volunteer Fire Co. Bethany Beach $ 21,260

Blades Volunteer Fire Co., Inc. Blades 21,260

Bridgeville Volunteer Fire Co. Bridgeville 21,260

Dagsboro Volunteer Fire Co. Dagsboro 21,260

Delmar Fire Department Delmar 21,260

Ellendale Volunteer Fire Co. Ellendale 21,260

Frankford Volunteer Fire Co. Frankford 21,260

Georgetown Fire Co., Inc. Georgetown 21,260

Greenwood Volunteer Fire Co. Greenwood 21,260

Gumboro Volunteer Fire Co., Inc. Gumboro 21,260

Indian River Volunteer Fire Co. Indian River 21,260

Laurel Fire Department, Inc. Laurel 21,260

Lewes Fire Department, Inc. Lewes 21,260

Millsboro Fire Co. Millsboro 21,260

Millville Volunteer Fire Co. Millville 21,260

Milton Volunteer Fire Co. Milton 21,260

Rehoboth Beach Volunteer Fire Co. Rehoboth Beach 21,260

Roxana Volunteer Fire Co. Roxana 21,260

Seaford Volunteer Fire Dept., Inc. Seaford 21,260

Selbyville Volunteer Fire Co., Inc. Selbyville 21,260

Slaughter Beach Memorial Fire Co. Slaughter Beach 21,260

TOTAL $ 1,275,600

(b) There is appropriated to the listed fire companies the following sums to be used for the maintenance and operation of ambulances in the public service:

Aetna Hose, Hook and Ladder Co. Newark $ 3,600

Belvedere Volunteer Fire Company Belvedere 3,600

Blades Volunteer Fire Co., Inc. Blades 3,600

Bridgeville Volunteer Fire Co. Bridgeville 3,600

Bowers Volunteer Fire Co., Inc. Bowers 3,600

Brandywine Hundred Fire Co., No. 1 Bellefonte 3,600

Camden-Wyoming Fire Co. Camden 3,600

Carlisle Fire Co. Milford 3,600

Cheswold Volunteer Fire Co. Cheswold 3,600

Christiana Fire Co. Christiana 3,600

Claymont Fire Co. Claymont 3,600

Cranston Heights Fire Co. Cranston Heights 3,600

Dagsboro Volunteer Fire Co. Dagsboro 3,600

Delaware City Fire Co. Delaware City 3,600

Delmar Fire Department Delmar 3,600

Ellendale Volunteer Fire Co. Ellendale 3,600

Elsmere Fire Co. Elsmere 3,600

Felton Community Fire Co. Felton 3,600

Five Points Fire Co. No. 1 Richardson Park 3,600

Frankford Volunteer Fire Co. No. 1 Frankford 3,600

Frederica Volunteer Fire Co. Frederica 3,600

Goodwill Fire Co. No. 1 New Castle 3,600

Greenwood Volunteer Fire Co. Greenwood 3,600

Gumboro Volunteer Fire Co., Inc. Gumboro 3,600

Harrington Fire Co. Harrington 3,600

Hartly Volunteer Fire Co., Inc. Hartly 3,600

Hockessin Fire Co. Hockessin 3,600

Holloway Terrace Fire Co. Holloway Terrace 3,600

Laurel Fire Department, Inc. Laurel 3,600

Leipsic Volunteer Fire Co. Leipsic 3,600

Lewes Fire Department, Inc. Lewes $ 3,600

Magnolia Volunteer Fire Co. Magnolia 3,600

Marydel Volunteer Fire Co., Inc. Marydel 3,600

Mill Creek Fire Co. Marshallton 3,600

Millsboro Fire Co. Millsboro 3,600

Millville Volunteer Fire Co., Inc. Millville 3,600

Milton Volunteer Fire Co. Milton 3,600

Minquadale Fire Co. Minquadale 3,600

Minquas Fire Co. No. 1 Newport 3,600

Odessa Fire Co., Inc. Odessa 3,600

Port Penn Volunteer Fire Co. Port Penn 3,600

Rehoboth Beach Volunteer Fire Co., Inc. Rehoboth Beach 3,600

Roxana Volunteer Fire Co. Roxana 3,600

Seaford Volunteer Fire Co., Inc. Seaford 3,600

Selbyville Volunteer Fire Co., Inc. Selbyville 3,600

Slaughter Beach Memorial Fire Co. Slaughter Beach 3,600

Talleyville Fire Co., Inc. Talleyville 3,600

Townsend Fire Company, Inc. Townsend 3,600

Volunteer Hose Co., Inc. Middletown 3,600

Wilmington Manor Volunteer Fire Co., Inc. Wilmington Manor 3,600

TOTAL $ 180,000

(c) There is appropriated to the listed fire companies the following sums to be used for the maintenance and operation of rescue trucks in the public service:

Aetna Hose, Hook and Ladder Co. Newark $ 3,600

Bethany Beach Volunteer Fire Co. Bethany Beach 3,600

Blades Volunteer Fire Co. Blades 3,600

Bowers Volunteer Fire Co., Inc. Bowers 3,600

Brandywine Hundred Fire Co. No. 1 Bellefonte 3,600

Bridgeville Volunteer Fire Co. Bridgeville 3,600

Camden-Wyoming Fire Co. Camden 3,600

Carlisle Fire Co. Milford 3,600

Cheswold Volunteer Fire Co. Cheswold 3,600

Christiana Fire Co. Christiana 3,600

Citizens' Hose Co. No. 1, Inc. Smyrna 3,600

Claymont Fire Co. Claymont 3,600

Clayton Fire Co. Clayton 3,600

Cranston Heights Fire Co. Cranston Heights 3,600

Dagsboro Volunteer Fire Co. Dagsboro 3,600

Delaware City Fire Co. Delaware City 3,600

Delmar Fire Department Delmar 3,600

Robbins Hose Co. Dover 3,600

Ellendale Volunteer Fire Co. Ellendale 3,600

Elsmere Fire Co. Elsmere 3,600

Farmington Volunteer Fire Co. Farmington 3,600

Felton Community Fire Co. Felton 3,600

Five Points Fire Co. No. 1 Richardson Park 3,600

Frederica Volunteer Fire Co. Frederica 3,600

Georgetown Fire Co. Georgetown 3,600

Goodwill Fire Co. No. 1 New Castle 3,600

Greenwood Fire Co. No. 1 Greenwood 3,600

Gumboro Volunteer Fire Co., Inc. Gumboro 3,600

Harrington Fire Co. Harrington 3,600

Hartly Volunteer Fire Co., Inc. Hartly 3,600

